species;sex;age;season;weight;total_length;wither_height;neck_size;temperature;hematocrit;health_condition;haemoplasma;anaplasma;tick;microfilaria;trypanosome;babesia;bloodparasite;female_reproductive_status
Bt;M;A;W;5.98;53;48;NA;NA;48;G;0;0;0;0;0;0;0;NA
Bt;M;A;W;5.16;54;46;14;NA;51;G;0;1;0;0;0;0;0;NA
Bt;M;J;W;2.3;50;40;12.3;NA;34;G;0;1;0;0;1;0;1;NA
Bt;F;A;W;5.32;54.5;45;NA;NA;32;G;0;0;0;1;0;0;1;Pregnant female
Bt;F;A;W;5.8;63;52;NA;NA;41;G;0;0;1;0;0;0;0;Pregnant female
Bt;M;A;W;5.44;54;51;14;NA;51;G;0;0;0;1;0;0;1;NA
Bt;M;A;W;5.74;56.5;47;NA;NA;45;G;0;1;0;0;0;0;0;NA
Cd;M;A;W;8.04;71;54;26;36.2;45;G;1;0;0;0;0;1;1;NA
Cd;F;A;W;5.78;63;48;24;35.6;35;G;1;1;0;0;0;0;0;Female non pregnant non lactating
Cd;F;A;W;5.02;60;44;18;NA;41;G;1;0;1;0;0;0;0;Female non pregnant non lactating
Cd;F;A;W;7.82;67.5;54.5;27;NA;42;G;1;1;0;1;0;0;1;Female non pregnant non lactating
Cd;F;A;D;6.8;65;51.5;22.5;NA;40;G;1;0;0;0;0;0;0;Female non pregnant non lactating
Cd;F;A;D;8.64;71;61;27;NA;40;G;1;1;0;0;0;0;0;Female non pregnant non lactating
Cd;F;J;D;2.22;43;34.5;17.5;33.4;33;G;1;0;0;0;0;0;0;Female non pregnant non lactating
Cd;M;A;D;5.78;66;48;NA;NA;41;G;1;1;0;0;0;0;0;NA
Cd;M;A;D;7.34;65.5;53;22;NA;34;G;1;1;0;0;0;0;0;NA
Cd;F;J;D;3.2;50;37.5;17.5;NA;31;G;0;0;1;0;0;0;0;Female non pregnant non lactating
Cd;F;A;D;7.24;66;53.5;23;NA;36;G;1;0;0;0;0;0;0;Female non pregnant non lactating
Cd;F;J;D;3.04;48;36.5;16.5;NA;38;G;0;0;0;0;0;0;0;Female non pregnant non lactating
Cd;M;J;D;4.54;60;48;24;NA;37;G;1;1;1;0;0;1;1;NA
Cd;F;A;D;8.98;72;59;20;NA;38;G;1;0;0;0;0;0;0;Female lactating with a young
Cd;M;A;D;6.66;69;59;22.5;NA;38;G;0;0;0;1;0;0;1;NA
Cd;F;A;D;6.26;62.5;45.5;19;NA;44;G;1;1;0;0;0;0;0;Female non pregnant non lactating
Cd;F;J;D;4.86;62;47;14;NA;38;G;1;1;0;0;0;0;0;Female non pregnant non lactating
Cd;F;A;D;6.58;65;54;20.5;NA;41;G;0;0;0;0;0;0;0;Female non pregnant non lactating
Cd;F;A;D;7.9;71;54.5;22;35.54;31;G;1;1;1;0;0;0;0;Female non pregnant non lactating
Cd;F;A;D;5.76;67;56;20;36.5;35;G;1;0;0;1;0;0;1;Female non pregnant non lactating
Cd;F;J;D;3.96;56;42;16.5;NA;36;G;1;1;0;0;0;0;0;Female non pregnant non lactating
Cd;F;A;D;7.4;NA;NA;NA;NA;NA;D;0;0;0;0;0;0;0;Female non pregnant non lactating
Cd;M;A;D;5.88;NA;NA;NA;NA;40;G;1;0;0;0;0;0;0;NA
Cd;M;A;D;8.86;NA;NA;NA;NA;42;G;1;1;0;0;0;0;0;NA
Cd;F;A;D;7.24;69;52.5;21;NA;NA;G;0;1;0;0;0;0;0;Female non pregnant non lactating
Cd;M;A;D;6.36;62;46;17;NA;36;G;1;0;0;0;0;0;0;NA
Cd;F;A;D;11.8;75;55;27;36;38;G;1;0;0;0;0;0;0;Female lactating with a young
Cd;F;A;D;8.22;72;56;20.5;NA;33;G;1;1;0;0;1;0;1;Female non pregnant non lactating
Cd;F;A;D;8.3;71;58.5;19.5;NA;41;G;1;0;0;0;0;0;0;Female non pregnant non lactating
Cd;M;A;D;6.98;67;54.5;24;NA;37;G;1;0;1;0;0;0;0;NA
Cd;F;J;D;3.84;54;43;18.5;NA;22;G;1;1;1;0;0;0;0;Female non pregnant non lactating
Cd;M;A;D;8.3;67;53.5;22.5;NA;32;G;0;1;0;0;0;0;0;NA
Cd;F;A;D;8.46;73;54;26;35.1;34;G;1;1;0;0;0;0;0;Female lactating with a young
Cd;F;A;D;7.02;65;58;NA;34;34;G;0;0;0;0;0;0;0;Female lactating with a young
Cd;M;J;D;2.6;46;30;17;33.8;37;G;1;0;0;0;0;0;0;NA
Cd;F;J;D;3.14;49;38;14;NA;32;G;1;1;0;0;0;0;0;Female non pregnant non lactating
Cd;M;J;D;3.3;47.5;35;14.5;NA;36;G;0;0;0;0;0;0;0;NA
Cd;F;A;D;8.62;68;55;25;NA;49;G;0;0;0;0;0;0;0;Female non pregnant non lactating
Cd;F;J;D;4.7;59;41;19;35.5;33;G;1;0;0;0;0;0;0;Female non pregnant non lactating
Cd;F;J;D;3.2;49;37;16.5;34.2;28;G;1;1;0;0;0;0;0;Female non pregnant non lactating
Cd;M;A;D;6.18;64;50;21.5;NA;39;G;1;1;0;0;0;0;0;NA
Cd;F;A;D;6.44;68;54;NA;NA;43;D;1;0;0;1;0;0;1;Female non pregnant non lactating
Cd;F;J;D;4.08;53;42;18.5;NA;44;G;1;0;0;0;0;0;0;Female non pregnant non lactating
Cd;M;A;D;7.32;68;54;24;36;27;G;1;1;0;1;0;0;1;NA
Cd;M;A;D;7.38;67.5;52;24;NA;40;G;1;0;0;1;0;0;1;NA
Cd;F;A;D;7;65.5;53.5;25;NA;37;G;1;0;1;0;0;0;0;Female non pregnant non lactating
Cd;M;A;D;6.64;66;57;NA;33.4;38;G;0;1;0;0;1;0;1;NA
Cd;M;A;D;7.02;67;53;26;NA;17;G;1;1;1;0;0;0;0;NA
Cd;F;A;D;8.2;NA;NA;NA;35.7;34;G;1;0;0;1;0;0;1;Female non pregnant non lactating
Cd;F;A;D;7.82;71;58;22;36.1;39;G;0;0;0;0;0;0;0;Female non pregnant non lactating
Cd;F;J;D;4.24;60;45;19;36.42;38;G;1;1;0;0;0;0;0;Female non pregnant non lactating
Cd;F;A;D;6.85;66;56;20;36.51;43;G;0;0;0;0;0;0;0;Female lactating with a young
Cd;M;J;D;4.58;56;NA;19;NA;37;G;1;1;0;0;0;0;0;NA
Cd;F;A;D;8.8;77;58.5;22;NA;33;G;1;0;0;1;0;0;1;Female lactating with a young
Cd;M;A;D;7.28;67.5;NA;NA;NA;37;G;1;0;0;0;0;0;0;NA
Cd;M;A;D;7.78;73;55.5;24.5;35.02;31;G;1;1;0;0;0;0;0;NA
